2026-08-10 22:10:16,786 === run start: CIFAR10_VGG13BN_FC_random_frog-airplane_budget0.01_seed42 on cuda ===
2026-08-10 22:10:19,396 [budget] budget=0.01 -> num_poisons=500 (full_train_len=50000)
2026-08-10 22:10:29,011 [clean baseline VGG13BN v0] test acc = 0.8782
2026-08-10 22:10:29,911 [clean baseline VGG13BN v1] test acc = 0.8749
2026-08-10 22:10:30,800 [clean baseline VGG13BN v2] test acc = 0.8833
2026-08-10 22:10:31,678 [clean baseline VGG13BN v3] test acc = 0.8772
2026-08-10 22:10:32,552 [clean baseline VGG13BN v4] test acc = 0.8734
2026-08-10 22:10:33,478 [clean baseline VGG13BN v5] test acc = 0.8835
2026-08-10 22:10:33,478 [clean baseline] VGG13BN CTA = 0.8784 +/- 0.0038
2026-08-10 22:10:33,499 [targets] 10 fixed targets: [8804, 9513, 7, 7117, 476, 9705, 2275, 1757, 9969, 4786]
2026-08-10 22:10:33,616 [resume] 37 (target, victim) trials already in ours_result/CIFAR10_VGG13BN_FC_random_frog-airplane_budget0.01_seed42/results.csv; skipping those.
2026-08-10 22:10:33,951 [target 8804 | victim 0] already in results.csv, skipping
2026-08-10 22:10:33,951 [target 8804 | victim 1] already in results.csv, skipping
2026-08-10 22:10:33,951 [target 8804 | victim 2] already in results.csv, skipping
2026-08-10 22:10:33,951 [target 8804 | victim 3] already in results.csv, skipping
2026-08-10 22:10:33,951 [target 8804 | victim 4] already in results.csv, skipping
2026-08-10 22:10:33,951 [target 8804 | victim 5] already in results.csv, skipping
2026-08-10 22:10:34,380 [target 9513 | victim 0] already in results.csv, skipping
2026-08-10 22:10:34,380 [target 9513 | victim 1] already in results.csv, skipping
2026-08-10 22:10:34,380 [target 9513 | victim 2] already in results.csv, skipping
2026-08-10 22:10:34,380 [target 9513 | victim 3] already in results.csv, skipping
2026-08-10 22:10:34,380 [target 9513 | victim 4] already in results.csv, skipping
2026-08-10 22:10:34,380 [target 9513 | victim 5] already in results.csv, skipping
2026-08-10 22:10:34,733 [target 7 | victim 0] already in results.csv, skipping
2026-08-10 22:10:34,733 [target 7 | victim 1] already in results.csv, skipping
2026-08-10 22:10:34,733 [target 7 | victim 2] already in results.csv, skipping
2026-08-10 22:10:34,733 [target 7 | victim 3] already in results.csv, skipping
2026-08-10 22:10:34,734 [target 7 | victim 4] already in results.csv, skipping
2026-08-10 22:10:34,734 [target 7 | victim 5] already in results.csv, skipping
2026-08-10 22:10:35,076 [target 7117 | victim 0] already in results.csv, skipping
2026-08-10 22:10:35,076 [target 7117 | victim 1] already in results.csv, skipping
2026-08-10 22:10:35,076 [target 7117 | victim 2] already in results.csv, skipping
2026-08-10 22:10:35,076 [target 7117 | victim 3] already in results.csv, skipping
2026-08-10 22:10:35,076 [target 7117 | victim 4] already in results.csv, skipping
2026-08-10 22:10:35,076 [target 7117 | victim 5] already in results.csv, skipping
2026-08-10 22:10:35,413 [target 476 | victim 0] already in results.csv, skipping
2026-08-10 22:10:35,413 [target 476 | victim 1] already in results.csv, skipping
2026-08-10 22:10:35,413 [target 476 | victim 2] already in results.csv, skipping
2026-08-10 22:10:35,413 [target 476 | victim 3] already in results.csv, skipping
2026-08-10 22:10:35,413 [target 476 | victim 4] already in results.csv, skipping
2026-08-10 22:10:35,413 [target 476 | victim 5] already in results.csv, skipping
2026-08-10 22:10:35,785 [target 9705 | victim 0] already in results.csv, skipping
2026-08-10 22:10:35,785 [target 9705 | victim 1] already in results.csv, skipping
2026-08-10 22:10:35,785 [target 9705 | victim 2] already in results.csv, skipping
2026-08-10 22:10:35,785 [target 9705 | victim 3] already in results.csv, skipping
2026-08-10 22:10:35,785 [target 9705 | victim 4] already in results.csv, skipping
2026-08-10 22:10:35,785 [target 9705 | victim 5] already in results.csv, skipping
2026-08-10 22:10:36,136 [target 2275 | victim 0] already in results.csv, skipping
