gpu: NVIDIA L40S
targets: 5118 8740 5324 4630 833 2065 7056 9059 6707 9874
targets: 6707 9874
job: 970835 ifb28_fus_gm_b0005_r20 on rack13-15
config: selector=fus attack=gradmatch budget=0.005 model=ResNet20BN K=20 dog-bird targets=10 victims=6 craft_steps=250 parts=4
partition: part_4_of_4 (2 target(s), 6 victims each)
output: /home/mmoslem3/scratch/PoisonBase/influence_fus_baselines_result/CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selfus_i10_a0.5_e50_ps0_pr0_K20_ce5_tgt14/parts/part_4_of_4
warning: /usr/bin/time is unavailable; Python phase metrics remain enabled
[2026-09-17 11:37:47] === run start: CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selfus_i10_a0.5_e50_ps0_pr0_K20_ce5_tgt14 on cuda [0] ===
[2026-09-17 11:37:47] args: {"FORCE": false, "attack": "gradmatch", "base": "ours", "base_dist": "cosine", "base_topr": null, "budget": 0.005, "cache_dir": "/tmp/PoisonBase_influence_fus/cache", "class_pair": "dog-bird", "clean_baseline": true, "craft_alpha": 0.0039216, "craft_aug": true, "craft_batch": 256, "craft_ensemble": 5, "craft_lowmem": false, "craft_schedule": false, "craft_steps": 250, "data_path": "/tmp/PoisonBase_influence_fus/data", "dataset": "CIFAR10", "distance_margin_coef": null, "dsa_strategy": "color_crop_cutout_flip_scale_rotate", "epsilon": 0.0313725, "fast_gradmatch": false, "fc_mode": "sample", "fc_restarts": 1, "fus_alpha": 0.5, "fus_iters": 10, "fus_proxy_restarts": 0, "fus_proxy_steps": 0, "fus_search_decay": [40], "fus_search_epochs": 50, "gpus": "all", "jacobian_batch_size": 64, "jacobian_weight": 1.0, "keep_pinned_targets": true, "lambda_margin": 1.0, "model": "ResNet20BN", "no_resume": false, "num_poisons": 500, "num_surrogates": 20, "num_targets": 2, "num_victims": 6, "out_dir": "/tmp/PoisonBase_influence_fus/influence_fus_baselines_result/part_4_of_4", "pair_order": "poison-target", "parallel_pretrain": true, "parallel_targets": true, "precompute_id": null, "precompute_only": false, "precompute_part": "both", "rank_on_victims": true, "recompute_deltas": false, "require_correct_target": false, "restarts": 8, "seed": 42, "sel_K": 20, "sel_alpha": 1.0, "sel_criterion": "fus", "sel_dpp": false, "sel_filter": false, "sel_metric_epoch": 10, "sel_mmr": false, "sel_mode": null, "sel_model": null, "sel_mu": 1.0, "sel_pca": false, "sel_pool": 3.0, "selector_metric_dir": "/tmp/PoisonBase_influence_fus/cache/selector_metrics", "sharp_mode": "worst", "sharp_samples": 20, "sharp_sigma": 0.05, "steal_timeout": 7200.0, "surrogate_aug": false, "surrogate_bs": 128, "surrogate_decay": [35, 45], "surrogate_epochs": 60, "surrogate_lr": 0.1, "surrogate_wd": 0.0, "target_idx_file": "/tmp/PoisonBase_influence_fus/target_sets/ResNet20BN_gradmatch_dog-bird_part_4_of_4.json", "target_select": 14, "use_jacobian_score": false, "victim_aug": false, "victim_bs": 125, "victim_decay": [40], "victim_epochs": 50, "victim_lr": 0.1, "victim_model": null, "victim_wd": 0.0}
[2026-09-17 11:37:47] Jacobian score: disabled
[2026-09-17 11:37:47] Adapted FUS selector: iterations=10 alpha=0.5 search_epochs=50 proxy_steps=250 proxy_restarts=8
[2026-09-17 11:37:47] N_total=50000 budget=0.005 -> N_p=250 poisons, y_adv=5(dog) target_class=2(bird)
[2026-09-17 11:37:47] === selection/crafting surrogates (20 x ResNet20BN, trained on the full real set) ===
[2026-09-17 11:37:47]   crafting on 5/20 surrogates
[2026-09-17 11:37:47] === clean victims (6 x ResNet20BN) ===
[2026-09-17 11:37:48]   clean baseline CTA = 0.8354 +/- 0.0043
[2026-09-17 11:37:48]   chosen 2 targets (file, fixed across victim architectures), p_adv range 0.1053..0.2060
[2026-09-17 11:37:48]   targets: [6707, 9874]
[2026-09-17 11:37:48] === target 6707 (1/2) ===
[2026-09-17 11:37:48]   adapted FUS: iterations=10 alpha=0.5 keep=125/250 search_epochs=50 proxy_steps=250 proxy_restarts=8
[2026-09-17 11:47:21]   adapted FUS target 6707 iteration 1/10: objective=0.218943, forgetting min/mean/max=0/1.184/7, retained=125, refreshed=125
[2026-09-17 11:56:54]   adapted FUS target 6707 iteration 2/10: objective=0.214096, forgetting min/mean/max=0/1.124/7, retained=125, refreshed=125
[2026-09-17 12:06:27]   adapted FUS target 6707 iteration 3/10: objective=0.208456, forgetting min/mean/max=0/1.008/6, retained=125, refreshed=125
[2026-09-17 12:16:01]   adapted FUS target 6707 iteration 4/10: objective=0.204591, forgetting min/mean/max=0/1.144/5, retained=125, refreshed=125
[2026-09-17 12:25:34]   adapted FUS target 6707 iteration 5/10: objective=0.19887, forgetting min/mean/max=0/1.196/7, retained=125, refreshed=125
[2026-09-17 12:35:08]   adapted FUS target 6707 iteration 6/10: objective=0.1956, forgetting min/mean/max=0/1.208/9, retained=125, refreshed=125
[2026-09-17 12:44:44]   adapted FUS target 6707 iteration 7/10: objective=0.2047, forgetting min/mean/max=0/1.020/6, retained=125, refreshed=125
[2026-09-17 12:54:21]   adapted FUS target 6707 iteration 8/10: objective=0.20416, forgetting min/mean/max=0/1.012/7, retained=125, refreshed=125
[2026-09-17 13:03:58]   adapted FUS target 6707 iteration 9/10: objective=0.201583, forgetting min/mean/max=0/1.052/7, retained=125, refreshed=125
[2026-09-17 13:13:34]   adapted FUS target 6707 iteration 10/10: objective=0.196418, forgetting min/mean/max=0/1.168/9, retained=125, refreshed=125
[2026-09-17 13:13:34]   target 6707: selector overhead 5745.648 s, CUDA peak 4685.0 MiB (incremental 3943.2 MiB)
[2026-09-17 13:21:22]   target 6707: crafted 250 poisons in 468 s, obj=0.20271, CUDA peak=4684.2 MiB (incremental 3931.3 MiB)
[2026-09-17 13:21:22]   target 6707: realized linf = 0.03137 (8.00/255), budget = 8.00/255
[2026-09-17 13:22:58]   [t6707 v1/6] SUCCESS (pred=dog) CTA=0.8345
[2026-09-17 13:24:34]   [t6707 v2/6] SUCCESS (pred=dog) CTA=0.8415
[2026-09-17 13:26:09]   [t6707 v3/6] fail (pred=bird) CTA=0.8396
[2026-09-17 13:27:45]   [t6707 v4/6] SUCCESS (pred=dog) CTA=0.8344
[2026-09-17 13:29:20]   [t6707 v5/6] SUCCESS (pred=dog) CTA=0.8375
[2026-09-17 13:30:56]   [t6707 v6/6] SUCCESS (pred=dog) CTA=0.8435
[2026-09-17 13:30:56]   target 6707, 6 victims on this gpu: ASR=83.3% CTA=0.8385 +/- 0.0034
[2026-09-17 13:30:56] === target 9874 (2/2) ===
[2026-09-17 13:30:56]   adapted FUS: iterations=10 alpha=0.5 keep=125/250 search_epochs=50 proxy_steps=250 proxy_restarts=8
[2026-09-17 13:40:32]   adapted FUS target 9874 iteration 1/10: objective=0.173427, forgetting min/mean/max=0/0.596/5, retained=125, refreshed=125
[2026-09-17 13:50:08]   adapted FUS target 9874 iteration 2/10: objective=0.177208, forgetting min/mean/max=0/0.784/8, retained=125, refreshed=125
