[2026-09-17 11:40:53] === run start: CIFAR10_ConvNetBN_sapa_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_selfus_i10_a0.5_e50_ps0_pr0_K20_worst0.05_ce5_tgt70 on cuda [0] ===
[2026-09-17 11:40:53] args: {"FORCE": false, "attack": "sapa", "base": "ours", "base_dist": "cosine", "base_topr": null, "budget": 0.005, "cache_dir": "/tmp/PoisonBase_influence_fus/cache", "class_pair": "dog-bird", "clean_baseline": true, "craft_alpha": 0.0039216, "craft_aug": true, "craft_batch": 256, "craft_ensemble": 5, "craft_lowmem": false, "craft_schedule": false, "craft_steps": 250, "data_path": "/tmp/PoisonBase_influence_fus/data", "dataset": "CIFAR10", "distance_margin_coef": null, "dsa_strategy": "color_crop_cutout_flip_scale_rotate", "epsilon": 0.0313725, "fast_gradmatch": false, "fc_mode": "sample", "fc_restarts": 1, "fus_alpha": 0.5, "fus_iters": 10, "fus_proxy_restarts": 0, "fus_proxy_steps": 0, "fus_search_decay": [40], "fus_search_epochs": 50, "gpus": "all", "jacobian_batch_size": 64, "jacobian_weight": 1.0, "keep_pinned_targets": true, "lambda_margin": 1.0, "model": "ConvNetBN", "no_resume": false, "num_poisons": 500, "num_surrogates": 20, "num_targets": 3, "num_victims": 6, "out_dir": "/tmp/PoisonBase_influence_fus/influence_fus_baselines_result/part_1_of_4", "pair_order": "poison-target", "parallel_pretrain": true, "parallel_targets": true, "precompute_id": null, "precompute_only": false, "precompute_part": "both", "rank_on_victims": true, "recompute_deltas": false, "require_correct_target": false, "restarts": 8, "seed": 42, "sel_K": 20, "sel_alpha": 1.0, "sel_criterion": "fus", "sel_dpp": false, "sel_filter": false, "sel_metric_epoch": 10, "sel_mmr": false, "sel_mode": null, "sel_model": null, "sel_mu": 1.0, "sel_pca": false, "sel_pool": 3.0, "selector_metric_dir": "/tmp/PoisonBase_influence_fus/cache/selector_metrics", "sharp_mode": "worst", "sharp_samples": 20, "sharp_sigma": 0.05, "steal_timeout": 7200.0, "surrogate_aug": false, "surrogate_bs": 128, "surrogate_decay": [35, 45], "surrogate_epochs": 60, "surrogate_lr": 0.1, "surrogate_wd": 0.0, "target_idx_file": "/tmp/PoisonBase_influence_fus/target_sets/ConvNetBN_gradmatch_dog-bird_part_1_of_4.json", "target_select": 70, "use_jacobian_score": false, "victim_aug": false, "victim_bs": 125, "victim_decay": [40], "victim_epochs": 50, "victim_lr": 0.1, "victim_model": null, "victim_wd": 0.0}
[2026-09-17 11:40:53] Jacobian score: disabled
[2026-09-17 11:40:53] Adapted FUS selector: iterations=10 alpha=0.5 search_epochs=50 proxy_steps=250 proxy_restarts=8
[2026-09-17 11:40:53] N_total=50000 budget=0.005 -> N_p=250 poisons, y_adv=5(dog) target_class=2(bird)
[2026-09-17 11:40:53] === selection/crafting surrogates (20 x ConvNetBN, trained on the full real set) ===
[2026-09-17 11:40:53]   crafting on 5/20 surrogates
[2026-09-17 11:40:53] === clean victims (6 x ConvNetBN) ===
[2026-09-17 11:40:54]   clean baseline CTA = 0.8127 +/- 0.0074
[2026-09-17 11:40:54]   chosen 3 targets (file, fixed across victim architectures), p_adv range 0.0000..0.0000
[2026-09-17 11:40:54]   targets: [843, 1257, 8252]
[2026-09-17 11:40:55] === target 843 (1/3) ===
[2026-09-17 11:40:55]   adapted FUS: iterations=10 alpha=0.5 keep=125/250 search_epochs=50 proxy_steps=250 proxy_restarts=8
[2026-09-17 11:45:53]   adapted FUS target 843 iteration 1/10: objective=0.345157, forgetting min/mean/max=0/1.196/8, retained=125, refreshed=125
[2026-09-17 11:50:50]   adapted FUS target 843 iteration 2/10: objective=0.331672, forgetting min/mean/max=0/1.580/10, retained=125, refreshed=125
[2026-09-17 11:55:47]   adapted FUS target 843 iteration 3/10: objective=0.329629, forgetting min/mean/max=0/1.420/8, retained=125, refreshed=125
[2026-09-17 12:00:45]   adapted FUS target 843 iteration 4/10: objective=0.323975, forgetting min/mean/max=0/1.076/7, retained=125, refreshed=125
[2026-09-17 12:05:42]   adapted FUS target 843 iteration 5/10: objective=0.310945, forgetting min/mean/max=0/0.880/6, retained=125, refreshed=125
[2026-09-17 12:10:39]   adapted FUS target 843 iteration 6/10: objective=0.308636, forgetting min/mean/max=0/1.088/6, retained=125, refreshed=125
[2026-09-17 12:15:37]   adapted FUS target 843 iteration 7/10: objective=0.304055, forgetting min/mean/max=0/1.196/6, retained=125, refreshed=125
[2026-09-17 12:20:34]   adapted FUS target 843 iteration 8/10: objective=0.303767, forgetting min/mean/max=0/1.380/8, retained=125, refreshed=125
[2026-09-17 12:25:31]   adapted FUS target 843 iteration 9/10: objective=0.312188, forgetting min/mean/max=0/2.632/9, retained=125, refreshed=125
[2026-09-17 12:30:28]   adapted FUS target 843 iteration 10/10: objective=0.302044, forgetting min/mean/max=0/1.320/9, retained=125, refreshed=125
[2026-09-17 12:30:28]   target 843: selector overhead 2973.295 s, CUDA peak 5070.7 MiB (incremental 4325.3 MiB)
[2026-09-17 12:34:27]   target 843: crafted 250 poisons in 239 s, obj=0.30294, CUDA peak=5068.1 MiB (incremental 4311.6 MiB)
[2026-09-17 12:34:27]   target 843: realized linf = 0.03137 (8.00/255), budget = 8.00/255
[2026-09-17 12:35:18]   [t843 v1/6] fail (pred=bird) CTA=0.8131
[2026-09-17 12:36:08]   [t843 v2/6] fail (pred=bird) CTA=0.8037
[2026-09-17 12:36:57]   [t843 v3/6] fail (pred=bird) CTA=0.8024
[2026-09-17 12:37:47]   [t843 v4/6] fail (pred=bird) CTA=0.8119
[2026-09-17 12:38:37]   [t843 v5/6] fail (pred=bird) CTA=0.8005
[2026-09-17 12:39:27]   [t843 v6/6] fail (pred=bird) CTA=0.7839
[2026-09-17 12:39:27]   target 843, 6 victims on this gpu: ASR=0.0% CTA=0.8026 +/- 0.0096
[2026-09-17 12:39:27] === target 1257 (2/3) ===
[2026-09-17 12:39:27]   adapted FUS: iterations=10 alpha=0.5 keep=125/250 search_epochs=50 proxy_steps=250 proxy_restarts=8
[2026-09-17 12:44:24]   adapted FUS target 1257 iteration 1/10: objective=0.284344, forgetting min/mean/max=0/1.020/8, retained=125, refreshed=125
[2026-09-17 12:49:21]   adapted FUS target 1257 iteration 2/10: objective=0.270486, forgetting min/mean/max=0/1.496/8, retained=125, refreshed=125
[2026-09-17 12:54:18]   adapted FUS target 1257 iteration 3/10: objective=0.266278, forgetting min/mean/max=0/0.976/6, retained=125, refreshed=125
[2026-09-17 12:59:15]   adapted FUS target 1257 iteration 4/10: objective=0.267485, forgetting min/mean/max=0/1.360/9, retained=125, refreshed=125
[2026-09-17 13:04:12]   adapted FUS target 1257 iteration 5/10: objective=0.25715, forgetting min/mean/max=0/1.268/9, retained=125, refreshed=125
[2026-09-17 13:09:09]   adapted FUS target 1257 iteration 6/10: objective=0.262045, forgetting min/mean/max=0/1.468/8, retained=125, refreshed=125
[2026-09-17 13:14:06]   adapted FUS target 1257 iteration 7/10: objective=0.262554, forgetting min/mean/max=0/1.060/8, retained=125, refreshed=125
[2026-09-17 13:19:04]   adapted FUS target 1257 iteration 8/10: objective=0.258272, forgetting min/mean/max=0/1.564/8, retained=125, refreshed=125
[2026-09-17 13:24:01]   adapted FUS target 1257 iteration 9/10: objective=0.249515, forgetting min/mean/max=0/1.988/11, retained=125, refreshed=125
[2026-09-17 13:28:58]   adapted FUS target 1257 iteration 10/10: objective=0.251465, forgetting min/mean/max=0/1.044/6, retained=125, refreshed=125
[2026-09-17 13:28:58]   target 1257: selector overhead 2971.576 s, CUDA peak 5068.1 MiB (incremental 4314.6 MiB)
[2026-09-17 13:32:58]   target 1257: crafted 250 poisons in 239 s, obj=0.24835, CUDA peak=5068.1 MiB (incremental 4311.6 MiB)
[2026-09-17 13:32:58]   target 1257: realized linf = 0.03137 (8.00/255), budget = 8.00/255
[2026-09-17 13:33:49]   [t1257 v1/6] fail (pred=bird) CTA=0.8035
[2026-09-17 13:34:39]   [t1257 v2/6] SUCCESS (pred=dog) CTA=0.8089
[2026-09-17 13:35:29]   [t1257 v3/6] fail (pred=bird) CTA=0.8102
[2026-09-17 13:36:19]   [t1257 v4/6] SUCCESS (pred=dog) CTA=0.8008
[2026-09-17 13:37:09]   [t1257 v5/6] fail (pred=bird) CTA=0.8030
[2026-09-17 13:37:58]   [t1257 v6/6] fail (pred=bird) CTA=0.7928
[2026-09-17 13:37:59]   target 1257, 6 victims on this gpu: ASR=33.3% CTA=0.8032 +/- 0.0057
[2026-09-17 13:37:59] === target 8252 (3/3) ===
[2026-09-17 13:37:59]   adapted FUS: iterations=10 alpha=0.5 keep=125/250 search_epochs=50 proxy_steps=250 proxy_restarts=8
[2026-09-17 13:42:56]   adapted FUS target 8252 iteration 1/10: objective=0.259246, forgetting min/mean/max=0/1.280/7, retained=125, refreshed=125
